"","sim","year","w","slope","intercept","y","scenario","sim_total","yr_mean","above_mean"
"1294",44,4,-7.83789548466533,0,37.8301825991366,45.6680780838019,"Stable",44,32.0495109836764,1
"1295",44,5,2.36079881666753,0,37.8301825991366,35.4693837824691,"Stable",44,31.3525657026439,1
"1296",44,6,-4.01283985341561,0,37.8301825991366,41.8430224525522,"Stable",44,31.2564941949427,1
"1297",44,7,4.53328620264823,0,37.8301825991366,33.2968963964884,"Stable",44,31.8500199653883,1
"1298",44,8,4.11543046461482,0,37.8301825991366,33.7147521345218,"Stable",44,31.3958010720882,1
"1299",44,9,3.27931184654143,0,37.8301825991366,34.5508707525952,"Stable",44,32.4224721270917,1
"1300",44,10,0.73845736278048,0,37.8301825991366,37.0917252363561,"Stable",44,31.5465679109786,1
"1301",44,11,1.8543735607122,0,37.8301825991366,35.9758090384244,"Stable",44,32.080766685482,1
"1302",44,12,3.19233996419259,0,37.8301825991366,34.637842634944,"Stable",44,31.671113610724,1
"1303",44,13,-7.31937467405355,0,37.8301825991366,45.1495572731902,"Stable",44,32.2273782139961,1
"1304",44,14,0.679549537610754,0,37.8301825991366,37.1506330615259,"Stable",44,31.1563238898745,1
"1305",44,15,2.40261988935278,0,37.8301825991366,35.4275627097838,"Stable",44,31.9078244040366,1
"1306",44,16,-0.912445698549362,0,37.8301825991366,38.742628297686,"Stable",44,31.556215684359,1
"1307",44,17,6.72326683340663,0,37.8301825991366,31.10691576573,"Stable",44,31.6441451950973,0
"1308",44,18,-1.02122003566258,0,37.8301825991366,38.8514026347992,"Stable",44,31.9758508691779,1
"1309",44,19,-0.00372808674982394,0,37.8301825991366,37.8339106858864,"Stable",44,31.7840061018813,1
"1310",44,20,2.71905930800113,0,37.8301825991366,35.1111232911355,"Stable",44,32.237239192334,1
"1311",44,21,-2.96571869938998,0,37.8301825991366,40.7959012985266,"Stable",44,31.8684074293129,1
"1312",44,22,1.1751067091969,0,37.8301825991366,36.6550758899397,"Stable",44,31.8223361056448,1
"1313",44,23,-2.84269631910084,0,37.8301825991366,40.6728789182374,"Stable",44,31.6972658621526,1
"1314",44,24,5.83166776176311,0,37.8301825991366,31.9985148373735,"Stable",44,31.4045344138022,1
"1315",44,25,9.35021279565744,0,37.8301825991366,28.4799698034792,"Stable",44,32.1130306462067,0
"1316",44,26,2.43974258223722,0,37.8301825991366,35.3904400168994,"Stable",44,31.7290013318459,1
"1317",44,27,3.38814312239998,0,37.8301825991366,34.4420394767366,"Stable",44,31.9847616379826,1
"1318",44,28,0.234316506779145,0,37.8301825991366,37.5958660923575,"Stable",44,31.530508666158,1
"1319",44,29,-3.6864312473305,0,37.8301825991366,41.5166138464671,"Stable",44,31.5486864877245,1
